key,english
foodCanPastacooked,Cooked pasta sauce
foodCanPastacookedDesc,"Cooked Italian sauce. If only we had some pasta to go with it..."
foodCanPearscooked,Cooked pears
foodCanPearscookedDesc,"Warm pears straight from the can. Might be weird to some, but it's less likely to make you ill..."
foodCanPeascooked,Cooked peas
foodCanPeascookedDesc,"One of your 5-a-day."
foodCanSalmoncooked,Cooked salmon
foodCanSalmoncookedDesc,"A healthy can of cooked salmon."
foodCanShamcooked,Cooked Sham
foodCanShamcookedDesc,"A can of high quality Shamway ham, but seriously - have you seen what they make this with?"
foodCanSoupcooked,Cooked chicken soup
foodCanSoupcookedDesc,"Hot chicken soup. Tasty."
foodCanStockcooked,Cooked stock
foodCanStockcookedDesc,"It's not much, but it's better than starving, right?"
foodCanTunacooked,Cooked tuna
foodCanTunacookedDesc,"A can of cooked tuna. Reminds you of a simpler time."
foodHoney,Honeycomb
potofchiliDesc,"Double portion of cooked chili. Still burns on the way out."
potofbeefDesc,"Two cans of beef rations cooked in a pot. Tender and filling."
potoflambDesc,"Two cans of lamb rations cooked in a pot. Leathery and filling."
potofchickenDesc,"Two chicken rations cooked in a pot. Tastes a little less like crap."
potofpastaDesc,"Double the pasta sauce. A little more Italian-tasting"
potofsalmonDesc,"Cooked salmon x2. Twice as filling, half as tasty."
potofshamDesc,"Double portions of rancid meat marinated in battery acid."
potofsoupDesc,"Warm, soothing, and twice as filling."
potofmisoDesc,"Miso times two. Twice as filling, still as tasty."
potofpeasDesc,"A large pot of green mush. Good for you though!"
potofpearsDesc,"Eat them hot or wait for it to cool. Your choice."
potofstockDesc,"Twice as much stock in this pot doesn't make it any better really."
potoftunaDesc,"Two cans of chunky tuna have got to be better than one, right?"
SuperCornBreadDesc,"Like regular corn bread, but with a bit 'extra'. Can be eaten, or used in a recipe."
SuperCornMealDesc,"Supercornmeal is used to make supercornbread, or you can eat it."
foodGumboStew,Gumbo Stew (Intellect)
foodChickenStew,Chicken Stew
foodChickenStewDesc,"A much better use for chicken rations. Delicious and filling."
foodChickenMiso,Chicken Miso
foodChickenMisoDesc,"Chicken pieces, miso, eggs & mushrooms. All that's missing is the ramen..."
foodShamChowder,Sham Chowder (Fortitude)
foodShepardsPie,Shepherd's Pie (Strength)
foodShepardsPieDesc,"Shepherd's Pie sure is tasty and super filling."
foodShepardsPieSchematic,Shepherd's Pie Recipe
foodSpaghetti,Spaghetti (Agility)
foodTunaFishGravyToast,Tuna Fish Gravy Toast (Perception)
gunBotT1JunkSledgeDesc,"You may not be good at punching but you have the technology.\nYou can also deploy this on the ground using the Secondary action.\nRepair with a Robot Repair Kit.\nScrap to Robotics Parts."
gunBotT2JunkTurretDesc,"This contraption can be fired and reloaded like a gun. It uses Robotic Turret Ammo for ammunition.\nYou can also deploy it on the ground using the Secondary action.\nRepair with a Robot Repair Kit.\nScrap to Robotics Parts."
gunBotT3JunkDroneDesc,"Crafted from robotic parts and scrap, the robotic drone is the ultimate companion in the apocalypse. It can heal you and carry some items. \nRepair with a Robot Repair Kit."
gunBowT1IronCrossbowDesc,"A crossbow is slow to reload but does more damage than a bow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with a Bow Repair Kit.\nScrap to Bow / Crossbow Parts."
gunBowT1WoodenBowDesc,"Good for hunting and killing zombies. Uses arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Bow Repair Kit.\nScrap to Bow / Crossbow Parts."
gunBowT3CompoundBowDesc,"A compound bow does more damage and arrows fly straighter which makes it easier to aim.\n\nRepair with a Bow Repair Kit.\nScrap to Bow / Crossbow Parts."
gunExplosivesT3RocketLauncherDesc,"A Rocket Launcher shoots rocket propelled grenades.\n\nRepair with a Rocket Launcher Repair Kit.\nScrap to Rocket Launcher parts."
gunHandgunT1PistolDesc,"A basic pistol that uses 9mm ammo.\n\nRepair with a Handgun Repair Kit.\nScrap to Handgun Parts."
gunHandgunT2Magnum44Desc,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\n\nRepair with a Handgun Repair Kit.\nScrap to Handgun Parts."
gunHandgunT3DesertVultureDesc,"This heavy pistol uses .44 Magnum ammo.\n\nRepair with a Handgun Repair Kit.\nScrap to Handgun Parts."
gunHandgunT3SMG5Desc,"This submachine gun uses 9mm ammo.\n\nRepair with a Handgun Repair Kit.\nScrap to Handgun Parts."
gunMGT1AK47Desc,"This badass AK-47 Machine Gun uses 7.62mm ammo.\n\nRepair with a Machine Gun Repair Kit.\nScrap to Machine Gun Parts."
gunMGT2TacticalARDesc,"This Tactical Assault Rifle uses 7.62mm ammo.\n\nRepair with a Machine Gun Repair Kit.\nScrap to Machine Gun Parts."
gunMGT3M60Desc,"Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.62mm ammo.\n\nRepair with a Machine Gun Repair Kit.\nScrap to Machine Gun Parts."
gunRifleT1HuntingRifleDesc,"This common farmer's hunting rifle uses 7.62mm ammo.\n\nRepair with a Rifle Repair Kit.\nScrap to Rifle parts."
gunRifleT2LeverActionRifleDesc,"This Lever Action rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\n\nRepair with a Rifle Repair Kit.\nScrap to Rifle parts."
gunRifleT3SniperRifleDesc,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n\nRepair with a Rifle Repair Kit.\nScrap to Rifle parts."
gunShotgunT1DoubleBarrelDesc,"A rusty old double barrel shotgun, great for close range carnage.\n\nRepair with a Shotgun Repair Kit.\nScrap to Shotgun Parts."
gunShotgunT2PumpShotgunDesc,"A long-barreled shotgun with pump action loading .\n\nRepair with a Shotgun Repair Kit.\nScrap to Shotgun Parts."
gunShotgunT3AutoShotgunDesc,"This semi automatic shotgun is a rare and devasting short range weapon capable of making minced meat out of anything in its path.\n\nRepair with a Shotgun Repair Kit.\nScrap to Shotgun Parts."
ammoGasCanDesc,"A can of gas. Can be used to fuel powered tools and vehicles.\nCrafted in lots of 4."
TheCure,"The T-Virus Cure"
TheCureDesc,"Cures 100% of infections, and protects against re-infection."
infectionImmunity,T-Virus Immunity
infectionImmunityDesc,"The chatter and the rumours were true!\nYou took the risk, and found the cure.\n\nYou are now immune from any and all infections."
drugHerbalAntibioticsDesc,"Herbal Antibiotics can treat infections.\n\nCan be crafted in a beaker at a campfire, or at a chemistry station."
medicalFirstAidKitDesc,"First aid kits stop bleeding, cures concussion, heal wounds, increase abrasion healing speed and suture lacerations.\nUse the secondary action to treat another player."
medicalTraumaKit,Trauma Kit
medicalTraumaKitDesc,"Trauma kits heal less than First Aid kits, but they also treat broken limbs, cure concussion & fatigue, and treat infections. They contain painkillers, which dehydrate you.\nUse the secondary action to treat another player.\n\nCan be crafted into an openable kit."
medicalTraumaKitSchematic,Trauma Kit Schematic
medicalTraumaKitopen,Openable Trauma Kit
medicalTraumaKitopenDesc,"Unpack this trauma kit to use the contained items individually.\n\nOnce opened, the items can be used to craft a usable trauma kit."
meleeWpnBatonT2StunBatonDesc,"Goes zap.\n\nRepair with a Baton Repair Kit.\nScrap to Stun Baton parts."
meleeWpnBladeT3MacheteDesc,"Great for chopping zombies and sometimes trees and gutting animals for meat.\nRegular attacks cause 1 Bleeding Wound and power attacks at least 2.\nRepair with a Machete Repair Kit.\nScrap to Machete parts."
meleeWpnClubT3SteelClubDesc,"Steel clubs are very durable and hard-hitting.\n\nRepair with a Club Repair Kit.\nScrap to Steel Club Parts."
meleeWpnKnucklesT3SteelKnucklesDesc,"Protect your hands and put some weight into those swings. These blades can also be useful for gutting animals.\n\nRepair with a Knuckles Repair Kit.\nScrap to Steel Knuckles parts."
meleeWpnSledgeT3SteelSledgehammerDesc,"The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with a Sledgehammer Repair Kit.\nScrap to Steel Sledgehammer parts."
meleeWpnSpearT3SteelSpearDesc,"Spears have more range than other weapons and can also be thrown.\n\nRepair with a Spear Repair Kit.\nScrap to Steel Spear parts."
noteDuke01,Love Letter
noteDuke01Desc,"Hey sweetheart, I can't believe you're being punished for something you didn't do! I was able to sneak you some food, water and medical supplies. I'll do what I can to convince everyone that you were framed and talk to my dad about sneaking you some extra food and water by plane. Be safe out there! I love you!\n\nPS: I packed your favourite weapon."
meleeToolAxeT2SteelAxeDesc,"The steel axe has a durable blade and is great for harvesting wood.\n\nRepair with a Steel Tools Repair Kit.\nScrap to Steel Tool parts."
meleeToolAxeT3ChainsawDesc,"Chop down the biggest trees or zombies faster than Paul Bunyan with this great chainsaw that uses gasoline for fuel.\n\nRepair with a Motor Tools Repair Kit.\nScrap to Motor Tool Parts."
meleeToolPickT2SteelPickaxeDesc,"The steel pickaxe is best for breaking stone and harvesting minerals.\n\nRepair with a Steel Tools Repair Kit.\nScrap to Steel Tool parts."
meleeToolPickT3AugerDesc,"Rock out with your auger out and be the envy of every miner when they see you sporting this sexy gas-powered auger.\n\nRepair with a Motor Tools Repair Kit.\nScrap to Motor Tool Parts."
meleeToolSalvageT2RatchetDesc,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Steel Tools Repair Kit.\nScrap to Steel Tool Parts."
meleeToolSalvageT3ImpactDriverDesc,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Motor Tools Repair Kit.\nScrap to Motor Tool Parts."
meleeToolShovelT2SteelShovelDesc,"The steel shovel is very durable and the ideal tool for digging through earth, sand or snow.\n\nRepair with a Steel Tools Repair Kit.\nScrap to Steel Tool parts."
quest_WhiteRiverCitizen1_description_title,Radio Static
tutorialTipQuest01,"The wasteland can be an unforgiving place. It's the year 2041, 7 years since the zombie outbreak began. You used to belong to a thriving community of survivors; \nyou fell in love with the person of your dreams and they also fell in love with you. \nUnfortunately, someone got jealous of your new found relationship. And so they set you up and you were found guilty of a serious crime, \none which you never committed, and you've been sentenced to 365 days of exile and left for dead in a far-out land, mostly deserted. \n\nLuckily for you though, your love interest managed to sneak in some supplies in your backpack before you were knocked out and dumped.
The love you have helps you to keep fighting to live another day, and you hope to see them again someday and start a new life together once you've served your punishment."
tutorialTipQuest01_title,Desolate Interloper Exile Survivor
tutorialTipQuest02,"Because it has been 7 years since civilisation has fallen apart, you realise you'll be fighting to keep yourself well fed. Medical supplies and other resources will be in very short supply, and you will have to make your own eventually. Most electronics and equipment have degraded, so finding functional parts won't be an easy task anymore.\n\n[FF4F00]You're infected with the T-Virus and need to regularly treat your infection to keep it under control.\nIt is rumoured that there may be a cure somewhere in the world! Good luck![-]\n\nYou smell something delicious in your backpack!"
tutorialTipQuest02_title,Resource Scarcity
perkArtOfMiningCoffeeDesc,"Harvest 25% more ore when buzzed from coffee."
perkArtOfMiningCoffeeLongDesc,"Coffee: Miners thrive on coffee. Harvest 25% more from all ores with a mining pick or stone axe when buzzed from coffee."
perkUrbanCombatCompleteDesc,"Suppressors have no damage penalty."
perkUrbanCombatCompleteLongDesc,"The suppressor: Firearms with suppressors have no damage penalty."
perkLivingOffTheLandRank1LongDesc,"Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nFarm plots cost 15% less to craft."
perkLivingOffTheLandRank2LongDesc,"Craft seeds for blueberries, coffee, cotton, mushrooms & hops.\nFarm plots cost 30% less to craft."
perkLivingOffTheLandRank3LongDesc,"You can craft seeds for potatoes, corn, pumpkins & supercorn. \nFarm plots cost 45% less to craft."
perkTheHuntsmanRank1LongDesc,"You are on the path of the huntsman. Harvest 34% more resources from animals using any bladed tool or weapon."
perkAdvancedEngineeringRank3LongDesc,"You are now an electrician. Learn to craft anvils for the forge, acid from car batteries, generators, and build advanced base defense systems such as electric fences & blade traps. Craft military fiber. Gain 20% XP from electrical trap kills.\nEfficient craftsman. All forge recipes cost 10% less, crafting Forged Steel and electrical devices costs 15% less."
perkAdvancedEngineeringRank4LongDesc,"Learn to craft advanced bellows for the forge, shotgun turrets for short range concentrated base defense, battery banks and nail guns. Gain 35% XP from electrical trap kills.\nAll forge recipes cost 15% less, crafting Forged Steel and electrical devices costs 25% less."
perkCharismaticNatureDesc,"You are a survivalist."
perkCharismaticNatureName,Survival Instinct
perkCharismaticNatureRank1Desc,Fit & Healthy
perkCharismaticNatureRank1LongDesc,"Your survival instinct gains you 5 health and stamina,and your block damage is increased by 10%, entity damage by 5%, and you gain 3% extra XP. Your carry capacity increases by 1."
perkCharismaticNatureRank2Desc,Brute Force
perkCharismaticNatureRank2LongDesc,"Your survival instinct increases. Gain another 5 health and stamina, block damage increase of 10%, entity damage of 5%, and you gain another 3% extra XP. You gain another carry capacity."
perkCharismaticNatureRank3Desc,Iron Skin
perkCharismaticNatureRank3LongDesc,"Your survival instinct increases even further! Gain another 5 health and stamina, block damage increase of 10%, entity damage of 5%, and you gain another 3% extra XP. You gain another carry capacity."
perkCharismaticNatureRank4Desc,Quick Learner
perkCharismaticNatureRank4LongDesc,"Your survival instinct is second to none!! Gain another 5 health and stamina, block damage increase of 10%, entity damage of 5%, and you gain another 3% extra XP. You gain another carry capacity."
perkDaringAdventurerRank1LongDesc,"Risking your neck every day has its advantages. Get an additional choice for quest rewards and 10% more dukes."
perkDaringAdventurerRank2LongDesc,"The traders know you can get the job done, plunderer. Get two additional choices for quest rewards and 20% more dukes."
perkDaringAdventurerRank3LongDesc,"You've made a name for yourself as a mercenary for hire. Get three additional choices for quest rewards and 30% more dukes."
perkDaringAdventurerRank4LongDesc,"You are the daring adventurer and get the best rewards for your services. You can now choose two quest rewards and get 40% more dukes."
perkPhysicianRank2LongDesc,"Medical healing items heal 40% more health over time. Gain 60% more XP using bandages, first aid bandages, first aid kits and splints. Can craft herbal antibiotics. Craft items 20% faster at chemistry stations."
perkPhysicianRank3LongDesc,"Medical healing items heal 55% more health over time. Gain 80% more XP using bandages, first aid bandages, first aid kits and splints. Can craft first aid kits and steroids."
perkSalvageOperationsRank1LongDesc,"Who knows what useful items can be found when tearing things apart? Craft quality 2 poor salvage tools. Deal 12.5% more damage, harvest 10% faster and gains 20% more resources.\nUnlocks wrench crafting.\n\nStamina: Use 5% less stamina with salvage tools."
perkSalvageOperationsRank2LongDesc,"Most people call you scavver but at least it's an honest living. Craft quality 3 fair salvage tools. Deal 25% more damage, harvest 20% faster and gains 40% more resources and deal 50% more block damage with a wrench, ratchet or impact driver.\n\nStamina: Use 10% less stamina with salvage tools."
perkSalvageOperationsRank3LongDesc,"You seem to have a knack for salvaging more useful parts than the average scrapper. Craft quality 4 good salvage tools. Deal 37.5% more damage, harvest 30% faster and gains 60% more resources and deal 75% more block damage with a wrench, ratchet or impact driver.\n\nStamina: Use 15% less stamina with salvage tools."
perkSalvageOperationsRank4LongDesc,"Your ability to gather salvaged parts is remarkable. Craft quality 5 great salvage tools. Deal 50% more damage, harvest 40% faster and gains 80% more resources and deal 100% more block damage with a wrench, ratchet or impact driver.\n\nStamina: Use 20% less stamina with salvage tools."
perkMasterChefRank3LongDesc,"Learn how to make nutritious pot luck meals from canned goods. Craft Hobo Stew,Chicken Stew, Chicken Miso, Chili dogs and Fish Tacos. Wash them down with Yucca Juice Smoothies and Beer. Cook 30% faster."
perkMasterChefRank4LongDesc,"Cook for an army by making Sham Chowder, Gumbo Stew, Shepherd's Pie, Spaghetti and Tuna Gravy on Toast. Cook 40% faster. Use 20% less of a recipe's main ingredients."
perkMasterChefRank5LongDesc,"Grandpa's ass kicking recipes.\nLearn grandpa's secret recipes AND MegaCrush that boost stats and attributes! Cook 50% faster."
perkMiner69rRank1LongDesc,"Everyone has to start somewhere. Craft quality 2 poor tools, increase tool damage by 12.5% and block damage by 40% with any axe, pick, shovel, chainsaw or auger.\nUnlocks all iron tools like pickaxes.\n\nStamina: Use 5% less stamina with mining tools.\nUse 9% less stamina with power attacks."
perkMiner69rRank2LongDesc,"You are still a little green but you aren't fetching the muckmen blackstrap any more. Craft quality 3 fair tools, increase tool damage by 25% and block damage by 80% with any axe, pick, shovel, chainsaw or auger.\n\nStamina: Use 10% less stamina with mining tools.\nUse 18% less stamina with power attacks."
perkMiner69rRank3LongDesc,"You are now a professional miner or what they called muckmen back in the day. Craft quality 4 good tools, increase tool damage by 37.5% and block damage by 120% with any axe, pick, shovel, chainsaw or auger.\n\nStamina: Use 15% less stamina with mining tools.\nUse 27% less stamina with power attacks."
perkMiner69rRank4LongDesc,"You can crack rock with the best of them now. Craft quality 5 great tools, increase tool damage by 50% and block damage by 160% with any axe, pick, shovel, chainsaw or auger.\n\nStamina: Use 20% less stamina with mining tools.\nUse 36% less stamina with power attacks."
perkMotherLodeRank1LongDesc,"You've found your first small vein and are envy of all the Johnny Newcomes.\nHarvest 25% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank2LongDesc,"Finding more ore is starting to become second nature to you. Harvest 50% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank3LongDesc,"You've hit your stride and can probably make a decent living at this. Harvest 75% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank4LongDesc,"You are going to need an Irish baby buggy to carry all this ore. Harvest 100% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkPackMuleRank1LongDesc,"Who has time to organize their stuff perfectly? Carry five more items without being encumbered."
perkPackMuleRank2LongDesc,"You know it's in there somewhere. Carry an additional five more items without being encumbered."
perkPackMuleRank3LongDesc,"You know exactly where everything is. Carry five additional items without being encumbered."
perkPackMuleRank4LongDesc,"You just passed inspection, private. Carry five more items without being encumbered."
perkPackMuleRank5LongDesc,"Now you are just showing off, you are either part mule or a strongman. Carry five more items without being encumbered."
perkJavelinMasterRank1LongDesc,"Sticks and stones can't break my bones but if combined make a nice spear. Craft quality 2 poor spears. Spears do 10% more damage and have 10% more range when thrown.\nUnlocks iron spear crafting.\n\nStamina: Use 4% less stamina with spears.\nUse 7% less stamina with power attacks."
perkJavelinMasterRank2LongDesc,"Craft quality 3 fair spears. Spears now inflict 20% more damage and have 20% more range when thrown.\n\nStamina: Use 8% less stamina with spears.\nUse 14% less stamina with power attacks."
perkJavelinMasterRank3LongDesc,"You are now a Spearman and can Craft quality 4 good spears. Spears inflict 30% more damage and have 30% more range when thrown.\n\nStamina: Use 12% less stamina with spears.\nUse 21% less stamina with power attacks."
perkJavelinMasterRank4LongDesc,"You are now a Lanceman and can Craft quality 5 great spears. Spears now inflict 40% more damage and have 40% more range.\n\nStamina: Use 16% less stamina with spears.\nUse 28% less stamina with power attacks."
perkJavelinMasterRank5LongDesc,"You are now a Javelin Master and if this wasn't the apocalypse you could be in the Olympics. Spears do 50% more damage and have 50% more range.\n\nStamina: Use 20% less stamina with spears.\nUse 35% less stamina with power attacks."
perkPummelPeteRank1LongDesc,"You might not pack a punch but as a roughneck you can swing a club! Craft quality 2 poor clubs, deal 10% more damage and attacks do 40% more damage to stunned enemies. Power attacks have a 60% chance to knock foes back down.\nUnlocks baseball bat crafting.\n\nStamina: Use 4% less stamina with clubs.\nUse 7% less stamina with power attacks."
perkPummelPeteRank2LongDesc,"You are making a name for yourself as a dangerous thug. Craft quality 3 fair clubs, deal 20% more damage, attacks do 80% more damage to stunned enemies and power attacks have a 70% chance to knock foes back down.\n\nStamina: Use 8% less stamina with clubs.\nUse 14% less stamina with power attacks."
perkPummelPeteRank3LongDesc,"You hit hard enough to be in the big leagues now. Craft quality 4 good clubs, deal 30% more damage, attacks do 120% more damage to stunned enemies and power attacks have a 80% chance to knock foes back down.\nLanding 5 successive hits in a short time causes the last blow to do 100% extra damage.\n\nStamina: Use 12% less stamina with clubs.\nUse 21% less stamina with power attacks."
perkPummelPeteRank4LongDesc,"When you said stay down you meant it. Craft quality 5 great clubs, deal 40% more damage, attacks do 160% more damage to stunned enemies and power attacks have a 90% chance to knock foes back down.\n4 successive hits in a short time causes the last blow to do 100% extra damage.\n\nStamina: Use 16% less stamina with clubs.\nUse 28% less stamina with power attacks."
perkPummelPeteRank5LongDesc,"Pummel Pete once took on 50 zombies with just a club and he would be proud of you. Deal 50% more damage, attacks do 200% more damage to stunned enemies and power attacks have a 100% chance to knock foes back down.\n3 successive hits in a short time causes the last blow to do 100% extra damage.\n\nStamina: Use 20% less stamina with clubs.\nUse 35% less stamina with power attacks."
perkSkullCrusherRank1LongDesc,"You are a bruiser and with a little luck can sometimes knock down geriatric zombies. Craft quality 2 poor sledgehammers and deal 10% more damage. 15% chance to knock down enemies with power attacks.\nUnlocks iron sledgehammer crafting.\n\nStamina: Use 4% less stamina with sledgehammers.\nUse 7% less stamina with power attacks."
perkSkullCrusherRank2LongDesc,"You are now a mauler but don't get too cocky yet. Craft quality 3 fair sledgehammers and deal 20% more damage. 30% chance to knock down enemies with power attacks.\n\nStamina: Use 8% less stamina with sledgehammers.\nUse 14% less stamina with power attacks."
perkSkullCrusherRank3LongDesc,"You are a certified smasher of things that get in your way. Craft quality 4 good sledgehammers and deal 30% more damage. Power attacks have a 45% chance to knock down enemies and a 20% chance to knock down nearby foes.\n\nStamina: Use 12% less stamina with sledgehammers.\nUse 21% less stamina with power attacks."
perkSkullCrusherRank4LongDesc,"You have nearly perfected the craft of smashing stuff and breaking bones. Craft quality 5 great sledgehammers and deal 40% more damage. Power attacks have a 60% chance to knock down enemies and a 35% chance to knock down nearby foes.\n\nStamina: Use 16% less stamina with sledgehammers.\nUse 28% less stamina with power attacks."
perkSkullCrusherRank5LongDesc,"Skull Crusher. If anyone pisses you off you have the means to crush their skull. Deal 50% more damage. Power attacks have a 75% chance to knock down enemies and a 50% chance to knock down nearby foes.\n\nStamina: Use 20% less stamina with sledgehammers.\nUse 35% less stamina with power attacks."
perkBrawlerRank1LongDesc,"Tired of being bullied by the undead? Zombies can't bite if you knock their damn teeth out! Craft quality 2 poor knuckled weapons and deal 10% more damage with fists. Punches to the head negate infection ability. Unlocks iron knuckles crafting.\n\nStamina: Use 4% less stamina with knuckles.\nUse 7% less stamina with power attacks."
perkBrawlerRank2LongDesc,"You've been in a few fights and can hold your own. Craft quality 3 fair knuckle weapons, deal 20% more damage with fists and have a 30% chance to stagger opponents with power attacks.\n\nStamina: Use 8% less stamina with knuckles.\nUse 14% less stamina with power attacks."
perkBrawlerRank3LongDesc,"All the fighting and scrapping has added up and you are a real slugger now. Craft quality 4 good knuckle weapons and deal 30% more damage with fists. Power attacks to the head have a 20% chance to knock down your opponent.\n\nStamina: Use 12% less stamina with knuckles.\nUse 21% less stamina with power attacks."
perkBrawlerRank4LongDesc,"You are now good enough to compete in professional boxing but smashing zombies faces in will have to do. Craft quality 5 great knuckle weapons and deal 40% more damage with fists. Power attacks to the head have a 30% chance to knock down your opponent.\n\nStamina: Use 16% less stamina with knuckles.\nUse 28% less stamina with power attacks."
perkBrawlerRank5LongDesc,"You are now a complete mixed martial artist and a registered lethal weapon. Deal 50% more damage and have a higher chance to explode heads with punches.\n\nStamina: Use 20% less stamina with knuckles.\nUse 35% less stamina with power attacks."
perkDeepCutsRank1LongDesc,"You might have a dull blade but you know how to use it. Craft quality 2 poor knives and deal 10% more damage. You can inflict up to 3 Bleeding Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on bleeding. Enemies run 10% slower while bleeding.\nUnlocks hunting knife crafting.\n\nStamina: Use 4% less stamina with blades.\nUse 7% less stamina with power attacks."
perkDeepCutsRank2LongDesc,"Your friends say you're a really knife guy. Craft quality 3 fair knives and deal 20% more damage. You can inflict up to 4 Bleeding Wounds on an enemy and a power attack inflicts 3.\n\nStamina: Use 8% less stamina with blades.\nUse 14% less stamina with power attacks."
perkDeepCutsRank3LongDesc,"You are a cut above the rest. Craft quality 4 good knives and deal 30% more damage. You can inflict up to 5 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 40% chance to cause 1 Bleeding Wound. Enemies run 15% slower while bleeding.\n\nStamina: Use 12% less stamina with blades.\nUse 21% less stamina with power attacks."
